Breed,Group,URL
Affenpinscher,Toy Group,https://www.akc.org/dog-breeds/affenpinscher/
Afghan Hound,,https://www.akc.org/dog-breeds/afghan-hound/
Airedale Terrier,,https://www.akc.org/dog-breeds/airedale-terrier/
Akita,,https://www.akc.org/dog-breeds/akita/
Alaskan Klee Kai,,https://www.akc.org/dog-breeds/alaskan-klee-kai/
Alaskan Malamute,,https://www.akc.org/dog-breeds/alaskan-malamute/
American Bulldog,,https://www.akc.org/dog-breeds/american-bulldog/
American English Coonhound,,https://www.akc.org/dog-breeds/american-english-coonhound/
American Eskimo Dog,,https://www.akc.org/dog-breeds/american-eskimo-dog/
American Foxhound,,https://www.akc.org/dog-breeds/american-foxhound/
American Hairless Terrier,,https://www.akc.org/dog-breeds/american-hairless-terrier/
American Leopard Hound,,https://www.akc.org/dog-breeds/american-leopard-hound/
American Staffordshire Terrier,,https://www.akc.org/dog-breeds/american-staffordshire-terrier/
American Water Spaniel,,https://www.akc.org/dog-breeds/american-water-spaniel/
Anatolian Shepherd Dog,,https://www.akc.org/dog-breeds/anatolian-shepherd-dog/
Appenzeller Sennenhund,,https://www.akc.org/dog-breeds/appenzeller-sennenhund/
Australian Cattle Dog,,https://www.akc.org/dog-breeds/australian-cattle-dog/
Australian Kelpie,,https://www.akc.org/dog-breeds/australian-kelpie/
Australian Shepherd,,https://www.akc.org/dog-breeds/australian-shepherd/
Australian Stumpy Tail Cattle Dog,,https://www.akc.org/dog-breeds/australian-stumpy-tail-cattle-dog/
Australian Terrier,,https://www.akc.org/dog-breeds/australian-terrier/
Azawakh,,https://www.akc.org/dog-breeds/azawakh/
Barbado da Terceira,,https://www.akc.org/dog-breeds/barbado-da-terceira/
Barbet,,https://www.akc.org/dog-breeds/barbet/
Basenji,,https://www.akc.org/dog-breeds/basenji/
Basset Fauve de Bretagne,,https://www.akc.org/dog-breeds/basset-fauve-de-bretagne/
Basset Hound,,https://www.akc.org/dog-breeds/basset-hound/
Bavarian Mountain Scent Hound,,https://www.akc.org/dog-breeds/bavarian-mountain-scent-hound/
Beagle,,https://www.akc.org/dog-breeds/beagle/
Bearded Collie,,https://www.akc.org/dog-breeds/bearded-collie/
Beauceron,,https://www.akc.org/dog-breeds/beauceron/
Bedlington Terrier,,https://www.akc.org/dog-breeds/bedlington-terrier/
