Breed,FCI,GroupId,GroupName,SectionId,SectionName,VarietyCode,VarietyName,URL
POINTER INGLESE,001,7,CANI DA FERMA,2,CANI DA FERMA BRITANNICI,,,https://www.enci.it/libro-genealogico/razze/pointer-inglese
SETTER INGLESE,002,7,CANI DA FERMA,2,CANI DA FERMA BRITANNICI,,,https://www.enci.it/libro-genealogico/razze/setter-inglese
KERRY BLUE TERRIER,003,3,TERRIER,1,TERRIER DI TAGLIA GRANDE E MEDIA,,,https://www.enci.it/libro-genealogico/razze/kerry-blue-terrier
CAIRN TERRIER,004,3,TERRIER,2,TERRIER DI PICCOLA TAGLIA (GAMBA CORTA),,,https://www.enci.it/libro-genealogico/razze/cairn-terrier
COCKER SPANIEL INGLESE,005,8,CANI DA RIPORTO CANI DA CERCA CANI DA ACQUA,2,CANI DA CERCA,A,"ROSSO",https://www.enci.it/libro-genealogico/razze/cocker-spaniel-inglese
COCKER SPANIEL INGLESE,005,8,CANI DA RIPORTO CANI DA CERCA CANI DA ACQUA,2,CANI DA CERCA,B,"NERO",https://www.enci.it/libro-genealogico/razze/cocker-spaniel-inglese
COCKER SPANIEL INGLESE,005,8,CANI DA RIPORTO CANI DA CERCA CANI DA ACQUA,2,CANI DA CERCA,C,"ALTRI COLORI",https://www.enci.it/libro-genealogico/razze/cocker-spaniel-inglese
SETTER GORDON,006,7,CANI DA FERMA,2,CANI DA FERMA BRITANNICI,,,https://www.enci.it/libro-genealogico/razze/setter-gordon
AIREDALE TERRIER,007,3,TERRIER,1,TERRIER DI TAGLIA GRANDE E MEDIA,,,https://www.enci.it/libro-genealogico/razze/airedale-terrier
AUSTRALIAN TERRIER,008,3,TERRIER,2,TERRIER DI PICCOLA TAGLIA (GAMBA CORTA),,,https://www.enci.it/libro-genealogico/razze/australian-terrier
BEDLINGTON TERRIER,009,3,TERRIER,1,TERRIER DI TAGLIA GRANDE E MEDIA,,,https://www.enci.it/libro-genealogico/razze/bedlington-terrier
BORDER TERRIER,010,3,TERRIER,1,TERRIER DI TAGLIA GRANDE E MEDIA,,,https://www.enci.it/libro-genealogico/razze/border-terrier
BULL TERRIER INGLESE TAGLIA NORMALE,011,3,TERRIER,3,TERRIER DI TIPO BULL (GAMBA LUNGA),,,https://www.enci.it/libro-genealogico/razze/bull-terrier-inglese-taglia-normale
FOX TERRIER A PELO LISCIO,012,3,TERRIER,1,TERRIER DI TAGLIA GRANDE E MEDIA,,,https://www.enci.it/libro-genealogico/razze/fox-terrier-a-pelo-liscio
ENGLISH TOY TERRIER BLACK AND TAN,013,3,TERRIER,4,TERRIER DI COMPAGNIA (GAMBA CORTA),,,https://www.enci.it/libro-genealogico/razze/english-toy-terrier-black-and-tan
VÄSTGÖTASPETS,014,5,CANI TIPO SPITZ E TIPO PRIMITIVO,3,CANI NORDICI DA GUARDIA E DA PASTORE,,,https://www.enci.it/libro-genealogico/razze/vastgotaspets
CANE DA PASTORE BELGA,015,1,CANI DA PASTORE E BOVARI (ESCLUSI BOVARI SVIZZERI),1,CANI DA PASTORE,A,"GROENENDAEL",https://www.enci.it/libro-genealogico/razze/cane-da-pastore-belga
CANE DA PASTORE BELGA,015,1,CANI DA PASTORE E BOVARI (ESCLUSI BOVARI SVIZZERI),1,CANI DA PASTORE,B,"LAKENOIS",https://www.enci.it/libro-genealogico/razze/cane-da-pastore-belga
CANE DA PASTORE BELGA,015,1,CANI DA PASTORE E BOVARI (ESCLUSI BOVARI SVIZZERI),1,CANI DA PASTORE,C,"MALINOIS",https://www.enci.it/libro-genealogico/razze/cane-da-pastore-belga
CANE DA PASTORE BELGA,015,1,CANI DA PASTORE E BOVARI (ESCLUSI BOVARI SVIZZERI),1,CANI DA PASTORE,D,"TERVUEREN",https://www.enci.it/libro-genealogico/razze/cane-da-pastore-belga
OLD ENGLISH SHEEPDOG,016,1,CANI DA PASTORE E BOVARI (ESCLUSI BOVARI SVIZZERI),1,CANI DA PASTORE,,,https://www.enci.it/libro-genealogico/razze/old-english-sheepdog
GRIFFON NIVERNAIS,017,6,SEGUGI E CANI PER PISTA DI SANGUE,1,CANI DA SEGUITA,,,https://www.enci.it/libro-genealogico/razze/griffon-nivernais
