Breed,FCINumber,Section,Subsection,Country,Status,DateAcceptance,DateStandard,Language,WorkingTrial,URL
AFFENPINSCHER,186,Pinscher and Schnauzer type,Pinscher,"GERMANY",Recognized on a definitive basis,7/15/1955,3/26/2009,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AFFENPINSCHER-186.html
AFGHAN HOUND,228,Long-haired or fringed Sighthounds,,"AFGHANISTAN",Recognized on a definitive basis,12/12/1961,7/27/2021,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AFGHAN-HOUND-228.html
AIREDALE TERRIER,7,Large and medium sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,5/28/1963,7/27/2021,English,"Subject to a working trial only for the countries having applied for it",https://fci.be/en/nomenclature/AIREDALE-TERRIER-7.html
AKITA,255,Asian Spitz and related breeds,,"JAPAN",Recognized on a definitive basis,3/13/1964,3/13/2001,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AKITA-255.html
ALASKAN MALAMUTE,243,Nordic Sledge Dogs,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,5/13/1963,3/9/2023,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/ALASKAN-MALAMUTE-243.html
ALPENLÄNDISCHE DACHSBRACKE,254,Leash (scent) Hounds,,"AUSTRIA",Recognized on a definitive basis,6/1/1975,10/10/1995,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ALPINE-DACHSBRACKE-254.html
AMERICAN AKITA,344,Asian Spitz and related breeds,,"JAPAN",Recognized on a definitive basis,5/30/1999,1/6/2015,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AMERICAN-AKITA-344.html
AMERICAN COCKER SPANIEL,167,Flushing Dogs,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,1/1/1965,7/27/2021,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AMERICAN-COCKER-SPANIEL-167.html
AMERICAN FOXHOUND,303,Scent hounds,Large-sized Hounds,"UNITED STATES OF AMERICA",Recognized on a definitive basis,11/2/1979,11/2/1979,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/AMERICAN-FOXHOUND-303.html
AMERICAN STAFFORDSHIRE TERRIER,286,Bull type Terriers,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,6/10/1936,9/3/1996,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AMERICAN-STAFFORDSHIRE-TERRIER-286.html
AMERICAN WATER SPANIEL,301,Water Dogs,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,11/2/1979,2/14/1995,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/AMERICAN-WATER-SPANIEL-301.html
ANGLO-FRANÇAIS DE PETITE VENERIE,325,Scent hounds,Medium-sized Hounds,"FRANCE",Recognized on a definitive basis,1/26/1983,1/26/1983,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/MEDIUM-SIZED-ANGLO-FRENCH-HOUND-325.html
ANJING KINTAMANI-BALI,362,Asian Spitz and related breeds,,"INDONESIA",Recognized on a provisional basis,,6/13/2018,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/KINTAMANI-BALI-DOG-362.html
APPENZELLER SENNENHUND,46,Swiss Mountain- and Cattledogs,,"SWITZERLAND",Recognized on a definitive basis,7/27/1954,3/25/2003,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/APPENZELL-CATTLE-DOG-46.html
ARIEGEOIS,20,Scent hounds,Medium-sized Hounds,"FRANCE",Recognized on a definitive basis,10/1/1954,1/24/1996,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ARIEGEOIS-20.html
AUSTRALIAN CATTLE DOG,287,Cattledogs (except Swiss Cattledogs),,"AUSTRALIA",Recognized on a definitive basis,3/20/1972,10/8/2012,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AUSTRALIAN-CATTLE-DOG-287.html
AUSTRALIAN KELPIE,293,Sheepdogs,,"AUSTRALIA",Recognized on a definitive basis,9/3/1973,10/8/2012,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/AUSTRALIAN-KELPIE-293.html
AUSTRALIAN SHEPHERD,342,Sheepdogs,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,5/21/2007,3/26/2009,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AUSTRALIAN-SHEPHERD-342.html
AUSTRALIAN SILKY TERRIER,236,Toy Terriers,,"AUSTRALIA",Recognized on a definitive basis,10/3/1962,10/8/2012,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AUSTRALIAN-SILKY-TERRIER-236.html
AUSTRALIAN STUMPY TAIL CATTLE DOG,351,Cattledogs (except Swiss Cattledogs),,"AUSTRALIA",Recognized on a provisional basis,,7/6/2005,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AUSTRALIAN-STUMPY-TAIL-CATTLE-DOG-351.html
AUSTRALIAN TERRIER,8,Small sized Terriers,,"AUSTRALIA",Recognized on a definitive basis,6/20/1963,10/8/2012,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AUSTRALIAN-TERRIER-8.html
AZAWAKH,307,Short-haired Sighthounds,,"MALI",Recognized on a definitive basis,6/3/1980,9/4/2019,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AZAWAKH-307.html
AÏDI (CHIEN DE MONTAGNE DE L'ATLAS),247,Molossian type,Mountain type,"MOROCCO",Recognized on a definitive basis,6/13/1963,3/25/2003,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/ATLAS-MOUNTAIN-DOG-AIDI-247.html
BARBET,105,Water Dogs,,"FRANCE",Recognized on a definitive basis,12/4/1954,2/21/2006,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/FRENCH-WATER-DOG-105.html
BASENJI,43,Primitive type,,"CENTRAL AFRICA",Recognized on a definitive basis,3/26/1964,11/25/1999,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BASENJI-43.html
BASSET ARTESIEN NORMAND,34,Scent hounds,Small-sized Hounds,"FRANCE",Recognized on a definitive basis,10/29/1963,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/NORMAN-ARTESIEN-BASSET-34.html
BASSET BLEU DE GASCOGNE,35,Scent hounds,Small-sized Hounds,"FRANCE",Recognized on a definitive basis,10/30/1963,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BLUE-GASCONY-BASSET-35.html
BASSET FAUVE DE BRETAGNE,36,Scent hounds,Small-sized Hounds,"FRANCE",Recognized on a definitive basis,10/30/1963,3/25/2003,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BASSET-FAUVE-DE-BRETAGNE-36.html
BASSET HOUND,163,Scent hounds,Small-sized Hounds,"GREAT BRITAIN",Recognized on a definitive basis,4/28/1955,10/13/2010,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BASSET-HOUND-163.html
BAYERISCHER GEBIRGSSCHWEISSHUND,217,Leash (scent) Hounds,,"GERMANY",Recognized on a definitive basis,11/14/1959,8/22/2017,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BAVARIAN-MOUNTAIN-SCENT-HOUND-217.html
BEAGLE,161,Scent hounds,Small-sized Hounds,"GREAT BRITAIN",Recognized on a definitive basis,4/26/1955,10/13/2010,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BEAGLE-161.html
BEAGLE-HARRIER,290,Scent hounds,Medium-sized Hounds,"FRANCE",Recognized on a definitive basis,9/2/1972,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BEAGLE-HARRIER-290.html
BEARDED COLLIE,271,Sheepdogs,,"GREAT BRITAIN",Recognized on a definitive basis,8/30/1967,11/3/2014,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BEARDED-COLLIE-271.html
BEDLINGTON TERRIER,9,Large and medium sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,6/20/1963,10/13/2010,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BEDLINGTON-TERRIER-9.html
BERGER BLANC SUISSE,347,Sheepdogs,,"SWITZERLAND",Recognized on a definitive basis,7/4/2011,7/4/2011,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/WHITE-SWISS-SHEPHERD-DOG-347.html
BERGER DE BEAUCE,44,Sheepdogs,,"FRANCE",Recognized on a definitive basis,11/25/1963,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BEAUCE-SHEEPDOG-44.html
BERGER DE BRIE,113,Sheepdogs,,"FRANCE",Recognized on a definitive basis,12/14/1954,11/4/2008,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BRIARD-113.html
BERGER DE PICARDIE,176,Sheepdogs,,"FRANCE",Recognized on a definitive basis,6/27/1955,11/4/2008,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/PICARDY-SHEEPDOG-176.html
BERNER SENNENHUND,45,Swiss Mountain- and Cattledogs,,"SWITZERLAND",Recognized on a definitive basis,7/26/1954,3/25/2003,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BERNESE-MOUNTAIN-DOG-45.html
BICHON A POIL FRISE,215,Bichons and related breeds,Bichons,"BELGIUM, FRANCE",Recognized on a definitive basis,10/28/1959,4/4/2016,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BICHON-FRISE-215.html
BICHON HAVANAIS,250,Bichons and related breeds,Bichons,"CUBA",Recognized on a definitive basis,9/24/1963,10/31/2016,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/HAVANESE-250.html
BILLY,25,Scent hounds,Large-sized Hounds,"FRANCE",Recognized on a definitive basis,10/14/1963,12/28/1973,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BILLY-25.html
BLACK AND TAN COONHOUND,300,Scent hounds,Large-sized Hounds,"UNITED STATES OF AMERICA",Recognized on a definitive basis,7/10/1945,1/30/1991,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BLACK-AND-TAN-COONHOUND-300.html
BOLOGNESE,196,Bichons and related breeds,Bichons,"ITALY",Recognized on a definitive basis,3/5/1956,11/13/2015,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BOLOGNESE-196.html
