Breed,Category,URL
Affenpinscher,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/affenpinscher/
Afghan Hound,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/afghan-hound/
Airedale Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/airedale-terrier/
Akita,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/akita/
Alaskan Malamute,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/alaskan-malamute/
Anatolian Shepherd Dog,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/
Australian Cattle Dog,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/
Australian Shepherd,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/
Australian Silky Terrier,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/
Australian Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/australian-terrier/
Azawakh (Imp),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/azawakh-imp/
Barbet (Imp),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/barbet-imp/
Basenji,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/basenji/
Basset Bleu De Gascogne (Imp),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/basset-bleu-de-gascogne-imp/
Basset Fauve De Bretagne,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/basset-fauve-de-bretagne/
Basset Griffon Vendeen (Grand),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/basset-griffon-vendeen-grand/
Basset Griffon Vendeen (Petit),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/basset-griffon-vendeen-petit/
Basset Hound,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/basset-hound/
Bavarian Mountain Hound,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/bavarian-mountain-hound/
Beagle,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/beagle/
Bearded Collie,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/bearded-collie/
Beauceron,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/beauceron/
Bedlington Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/bedlington-terrier/
Belgian Shepherd Dog (Groenendael),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/belgian-shepherd-dog-groenendael/
Belgian Shepherd Dog (Laekenois),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/belgian-shepherd-dog-laekenois/
Belgian Shepherd Dog (Malinois),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/belgian-shepherd-dog-malinois/
Belgian Shepherd Dog (Tervueren),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/belgian-shepherd-dog-tervueren/
Bergamasco (Imp),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/bergamasco-imp/
Bernese Mountain Dog,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/bernese-mountain-dog/
